Country,ISIC_AB,ISIC_CE,ISIC_D,ISIC_F,ISIC_GH,ISIC_I,ISIC_JP,ISIC_C_E
Montserrat,.0416019597138787,.0601863771857238,.0508264486851969,.1089009210500781,.4965228657769291,.0482694117750697,.2451579186475786,.0093599288
Morocco,.2681980391989979,.0731175098507459,.1919108114940845,.2381291257891764,.2418847411177138,.0338794897693726,.1398432789137878,-.1187933
Mozambique,.2982534071708208,.0109883014301841,.1261584696117426,.1407457009181637,.3123911121730768,.1022363659010873,.1269928343658228,-.11517017
Myanmar,.5650616976603829,.005782187509351,.0790580177415334,.0784106784430952,.0214107171239916,.0490920560941591,.2923436232593489,-.073275827
Namibia,.1062683882049281,.0593099765802689,.1010235843898634,.2753269444748024,.4056069230697798,.0339960012205063,.1111955144331196,-.041713607
Nauru,.0536158467682307,.0312164229380696,.0159877946121607,1.955015542817827,.3768499547461795,.1171454832142097,.1516724499402997,.015228628
Nepal,.5024836341490239,.0442693599225405,.0363612351012965,.0431581467509781,.154202798596019,.0335780961574231,.2043171888528116,.0079081245
Netherlands,.0092694202528967,.1655222912683224,.1375192129006851,.2140168490512191,.4298720591814796,.059194546835038,.110628471911706,.028003078
New Caledonia,.0430059679641305,.0389488011728189,.3233692807060746,.3389173908536908,.2038791749569799,.0308344675966687,.3444141974618756,-.28442049
New Zealand,.0535460923411731,.0774538479784233,.2032670536195479,.2391457451922346,.3997903455914814,.0537312312892159,.1679424635108589,-.1258132
Nicaragua,.1382699914632248,.0583335277029036,.1192602126102266,.1898825890239193,.3829373681297656,.0596164335595357,.1708252649973743,-.060926683
Niger,.508100310233841,.0133440694177565,.024545144948469,.0461131405479679,.2083364411324462,.0562754142625928,.1735404001492312,-.011201075
Nigeria,.2698163667353761,.0479528643001377,.0442127394679946,.314288480750501,.0836557341953735,.0697527530860402,.1489303762295399,.0037401249
Norway,.0266253815135058,.0722301512899465,.2141533561413062,.2486367639720658,.4320456884258307,.118566948581575,.1018950662206541,-.1419232
Oman,.0138993606574655,.0554526838746476,.0067274827530527,.6591263555206884,.1877333471161642,.0133322980209519,.0534282803436648,.048725203
Pakistan,.4182342947264384,.0301004144366026,.0845059898793709,.1156045552480823,.1644681547665004,.1090380898875224,.1742997942282256,-.054405574
Palau,.0927352373439144,.0639553876033542,.017769177037723,.0311370638465623,.4867491301760993,.1195612856081242,.1992682779783232,.046186209
Panama,.1013622557245341,.0540535114135511,.151646873497904,.1840450319328172,.4023956465976366,.0585998311942439,.1880709141780141,-.09759336
Papua New Guinea,.3068792100772963,.0283822005468146,.0829650739104511,.3220822650497096,.1875724398142664,.0420743398668285,.0958104646245986,-.054582875
Paraguay,.2086703636331898,.028900602437499,.1944352706090491,.2181748223987322,.2583699714247526,.0448981229705897,.2380512414065765,-.16553468
Peru,.0751724261616536,.0363994486738086,.1878499985512454,.2788350144376336,.357867358695508,.0884688231024362,.1738665955589947,-.15145054
Philippines,.1896923744309176,.0613091915912779,.2817131357044966,.3029065077271439,.2510860134703368,.0466807046733898,.1472900776295615,-.22040394
Poland,.0349732397304763,.0702335020437327,.0889156805344119,.197284830541046,.4950117659341759,.0579797102388427,.1336366143820069,-.018682178
Portugal,.0590835797951725,.0845622107311379,.1458659719004148,.1621917937506689,.408519201660155,.0482223106971349,.2395199792602545,-.061303761
Puerto Rico,.0176419060929636,.0914803342930812,.340403399033708,.4600651918339884,.3112729561202163,.0237378824453447,.122887599797543,-.24892306
Qatar,.0057948682192103,.0679236924840263,.0860516985848401,.6675539955646472,.1763337072775831,.0134190041384031,.0674303041267978,-.018128006
Republic of Korea,.1731845696850763,.1001369108318073,.078609940392791,.1098752396878471,.4192635956321189,.0462116031828984,.1541845088946781,.02152697
Republic of Moldova,,,,,,,,
Romania,.1585985593929134,.0811577841931764,.3512184537682279,.4263378469397959,.1474180252111692,.1194801080794106,.1020082289243139,-.27006066
Russian Federation,,,,,,,,
Rwanda,.6622379874790312,.0432116144131407,.0822153745309947,.0952787003826429,.1156300861578226,.009605864870953,.0672820491281479,-.03900376
Saint Kitts and Nevis,.0501692924367981,.0973966004410636,.1184367706079139,.1341616984040538,.5565108038244061,.0569517349029283,.1045959485907414,-.02104017
Saint Lucia,.1558678850825111,.0726979993635265,.0535297466170682,.0754998640277257,.3652990508349016,.1141548652414167,.2130406683226735,.019168252
Samoa,.2633952628143145,.0674308863261963,.1579188848907277,.1945248487378243,.2195032643252285,.0919425689007379,.1524541608618342,-.090488002
San Marino,.0008591573517331,.0500009059109415,.3587710068938702,.3587710068938702,.3756027328882954,.0280658373145308,.1867003580730785,-.30877009
Sao Tome and Principe,.1550633013943437,.0920686147782238,.0629140645423542,.0853468231417252,.2760033354876106,.1428806887251652,.2546518170959536,.02915455
Saudi Arabia,.0165135951741747,.0281120820965823,.0546064752281536,.7145009369506643,.1655402228589996,.0194584145073141,.0133226661214529,-.026494393
Senegal,.2738189493260536,.0194109864524381,.1229850473122675,.1577019355449495,.2534227941208504,.0578617144697172,.2470973226442966,-.10357406
Serbia,,,,,,,,
Seychelles,.046400709315082,.0207983988278092,.0182813954948309,.0189796000777496,.2687685446805093,.020773415936037,.6275352774041106,.0025170033
Sierra Leone,.4538722384717327,.0192939742045045,.0452090770289087,.2334576546977866,.1646941038533508,.0772426581762251,.0647628051046012,-.025915103
Singapore,.0165675562555705,.0682088639934888,.2313875291824606,.2493278093407959,.3762942895262874,.067216641459877,.2041394071612444,-.16317867
Sint Maarten (Dutch part),,,,,,,,
Slovakia,,,,,,,,
Slovenia,,,,,,,,
Solomon Islands,.3871672053068488,.0798284336526471,.058332967303879,.0616852528299535,.2951524475184879,.0612518719285265,.1263957480396621,.021495467
Somalia,.7597494839193145,.0397295886800351,.0241559368725639,.0282392477968128,.060513574800781,.0534630918420981,.0628238994520408,.015573652
South Africa,.0286827633770881,.0413320129989266,.1624633969875055,.4081045796079563,.3275793092903193,.0553174658937969,.115711866909252,-.12113138
South Sudan,,,,,,,,
Spain,.0423184146847223,.1793092402839743,.1587259799777902,.1888430096277917,.2990164605667502,.0908229676701476,.2031255608691123,.020583261
Sri Lanka,.2774513145022174,.0709675489587864,.1546244181969081,.1661478011694879,.2337775610793649,.0956347655163498,.1492811023268467,-.08365687
St. Vincent and the Grenadines,.1269685798964257,.0671379000670397,.0863836030190056,.1071932047241586,.5428557705606167,.0641926039707699,.0960550305267494,-.019245703
State of Palestine,.1308326202528245,.0647885313447758,.1780703153544201,.2129221520078082,.3778664626141215,.0514524346424486,.1719136138890081,-.11328179
Sudan,,,,,,,,
Sudan (Former),.5278550118949883,.0306769127710463,.0699232827702037,.0607195425264584,.1378595950718566,.112336475343714,.1597337291118681,-.039246369
Suriname,.1039807126250276,.0637110962584864,.278513432772356,.3429841780860005,.1610013982013738,.0323989943442167,.3006479245531961,-.21480234
Swaziland,.1205756123488889,.0613475390939717,.0927482651722364,.1852217920065047,.2979950998941237,.0587281203928791,.2644477362767239,-.031400725
Sweden,.0188641069214699,.082516524508405,.1492114858982699,.1919019904629442,.5262091950145394,.0756959293863958,.0942233122134562,-.06669496
Switzerland,.0193226612246205,.0679153633822356,.1937402807433606,.2241945457093935,.4476786059239648,.0761997903199649,.1656392452599803,-.12582491
Syrian Arab Republic,.2353777245060039,.0387533619287422,.066731047104037,.2437088519044789,.1590975618634893,.0892011674850605,.226319147719031,-.027977685
TFYR of Macedonia,,,,,,,,
Tajikistan,,,,,,,,
Thailand,.223348098225599,.0618516435370227,.1579083507861352,.1746960709336096,.2546814046797357,.0532205595446837,.2460980393145955,-.096056707
Timor-Leste,,,,,,,,
Togo,.3172251159813744,.022504730243834,.0678112475721303,.133503808475211,.3466971354592546,.0565556097825043,.1432624787984059,-.045306519
Tonga,.2509861030937534,.0680997516831592,.1349174957206894,.1480169243269068,.358792543591395,.0381064870927241,.1302324092194465,-.066817746
Trinidad and Tobago,.0193962944354451,.05127792318404,.1551717715499688,.4623733809102114,.218537965709605,.0258366634741755,.2363656949607587,-.10389385
Tunisia,.1123436452135494,.0476860968381445,.0652100517224743,.4004291687926257,.2438858700881414,.0573947917695447,.0640344580054711,-.017523956
Turkey,.2606562656997972,.0581718083019016,.1188855233395293,.1407768550625678,.3858183891139967,.0664771280414722,.1002603031914251,-.060713716
Turkmenistan,,,,,,,,
Turks and Caicos Islands,.0132765277550231,.0968693261276,.0454864488426397,.0857404446746554,.3235646403016304,.0980070873532368,.3773686806264049,.051382877
Tuvalu,.2494461767777826,.1333333035638932,.0225907182755635,.0289096391809891,.425015528484219,.0064588670435775,.1568363956412181,.11074258
U.R. of Tanzania: Mainland,.3376054427595338,.0485591939346122,.1058856295032001,.1286917990532709,.2299062615806796,.0903530029527396,.1578163025689326,-.057326436
USSR (Former),.0754276207282743,.0819493784971277,.2098875036917824,.3512018586322542,.198518101441931,.129419432257673,.1682389669260537,-.12793812
